line,algo,x,y,frame_id,t_start,t_end,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,0,-9.337704365253622,7.5099688155966255,0,0.0,1.486077097505669,0.18287430149862596,0.18287430149862596,0.5944840930065305,0.07722188976251108,0.1686590405118241,0.3134008039731194,0.17202064953116075,0.26009619126113703,0.09143715074931298,0.25665023344970705,0.5024468149319489,0.15214945761733054
0,0,-9.61554225577174,7.67655394051632,1,0.37151927437641724,1.8575963718820863,0.13867152037471206,0.13867152037471206,0.647632305545162,0.06663651318935684,0.1332730263787137,0.2615849126389048,0.16715860773966876,0.20530803356406893,0.0720350071853552,0.2590736072092237,0.5358373137914074,0.14819187854439086
0,0,-9.8356437423113,7.983497403936061,2,0.7430385487528345,2.2291156462585033,0.11073274371854823,0.11073274371854823,0.6791454457000171,0.057872045996307395,0.10308420410669984,0.21780266727405007,0.16426770549629915,0.16426770549629915,0.0655205856081558,0.26932007690575455,0.547221176375177,0.15026452951984787
0,0,-10.039099376881854,8.240851208706209,3,1.1145578231292517,2.6006349206349206,0.09990949528612281,0.09990949528612281,0.6902719138925422,0.05745475189058724,0.08482178941963153,0.18650046849587892,0.16643166579339624,0.1395558644777201,0.07254245775707854,0.2908998244046249,0.543965768788706,0.15913343096683463
0,0,-10.215181643008298,8.576392433331515,4,1.486077097505669,2.972154195011338,0.10268552036115332,0.10268552036115332,0.6869468092421174,0.06473990288441817,0.07793026321778936,0.16579995972219308,0.17104810585313132,0.12846029163667683,0.09307705684377607,0.3245047481948865,0.5282420207694238,0.17463000266912523
0,0,-10.472481316036506,9.225061114303962,5,1.8575963718820863,3.3436734693877552,0.11330914493902139,0.11330914493902139,0.6777053541229442,0.07551679205535615,0.07906169824868134,0.15187187956256842,0.17222688869702205,0.12636328704305172,0.12281838084972652,0.36845514254917955,0.49663816142774214,0.19208365597028845
0,0,-10.762368246985163,10.1438139199337,6,2.2291156462585033,3.715192743764172,0.12545773787387463,0.12545773787387463,0.6712949126331195,0.08492601963591229,0.08492601963591229,0.14218885519097926,0.16432729385665515,0.12903084883398333,0.15116928749965924,0.41549155605414945,0.45107747327670017,0.20157537333438771
0,0,-15.971283091208493,15.819163813615974,7,2.6006349206349206,4.08671201814059,0.12625672439657035,0.12985259096784824,0.6793391124132718,0.09236729444791997,0.08877142787664208,0.12985259096784824,0.14309439502375812,0.12625672439657035,0.1673378874877765,0.4556229400869489,0.40383140431179737,0.19321318294523931
0,0,-16.535976162201912,16.48668145040047,8,2.972154195011338,4.458231292517007,0.10776420738015152,0.12100821148999742,0.7084635026997139,0.09512861699251135,0.08188461288266545,0.10776420738015152,0.11136067138516048,0.10776420738015152,0.1654012998739937,0.4815782338651706,0.36579856048884507,0.1654012998739937
0,0,-17.356446226251986,17.744842595115525,9,3.3436734693877552,4.829750566893424,0.07578176668729222,0.10493720882117155,0.7488672818205598,0.08827991749477081,0.06268181998265439,0.07578176668729222,0.07933911130905512,0.07578176668729222,0.14529008100856025,0.48943996785106386,0.340880737125653,0.12680667273996962
